unit_name,cap_mw,fuel_type,decom_start_existing_cap,life_time,decom_start_new,final_life_cap,max_inv_period,cap_factor,efficiency,cost_no_fuel,cap_inv_cost,RampingCost,CO2Intensity,technology,RampUpRate,RampDownRate,PrimaryReserve,SecondaryReserve,Stab_factor,CHPType,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat
HEZakucac,538,Hydro,15,25,20,1,0,1,0.899311528,0,1000000,0,0,HDAM,1,0.05,N,N,1,N,2047,,,,,,
Bovis,1,Biomass,15,25,20,1,50,1,0.35,0,3400000,0.5,0.123,ICEN,0.2,0.2,N,N,1,N,,,,,,,
HR_WindPP,104,Wind,15,25,20,1,10000,1,1,0,1100000,0,0,WTON,1,1,N,N,1,N,,,,,,,
EL-TOZagreb,90,Gas,15,25,20,0.2,50,1,0.15,0,1200000,0.5,0.398,STUR,0.06,0.06,N,N,1,Y,750,0.03,,,0.2,0.18,450
KTEJertovec,78,Gas,15,25,20,0.1,50,1,0.36,0,1200000,0.5,0.398,COMC,0.06,0.06,N,N,1,N,,,,,,,
mTEOJakusevac,2.036,Biomass,15,25,20,1,50,1,0.38,0,3400000,0.5,1.062,GTUR,0.1,0.1,N,N,1,N,,,,,,,
HESenj,216,Hydro,15,25,20,1,0,1,0.895055028,0,1000000,0,0,HDAM,1,0.05,N,N,1,N,143008,,,,,,
HEDubrovnik_HR,117,Hydro,15,25,20,1,0,1,0.899442094,0,1000000,0,0,HDAM,1,0.05,N,N,1,N,821991,,,,,,
HEVinodol,90,Hydro,15,25,20,1,0,1,0.84777799,0,1000000,0,0,HDAM,1,0.05,N,N,1,N,2172,,,,,,
NEKrskoHR,348,Nuclear,15,25,20,0,0,1,0.57,0,1000000,1.8,0,STUR,0.025,0.025,N,N,1,N,,,,,,,
PZOsatina,1,Biomass,15,25,20,1,50,1,0.35,0,3400000,0.5,0.123,ICEN,0.2,0.2,N,N,1,N,,,,,,,
HEPeruca,60,Hydro,15,25,20,1,0,1,0.85,0,1000000,0,0,HDAM,1,0.05,N,N,1,N,69289,,,,,,
HESklope,22.5,Hydro,15,25,20,1,0,1,0.849473678,0,1000000,0,0,HDAM,1,0.05,N,N,1,N,20928,,,,,,
TEBiomassHR,24.6,Biomass,15,25,20,1,50,1,0.45,0,3400000,0.5,0.123,STUR,0.2,0.2,N,N,1,N,,,,,,,
RHEVelebit,276,Hydro,15,25,20,1,0,1,0.906981197,0,1000000,0,0,HPHS,1,0.05,N,N,1,N,14800,0.016216216,240,0.75,,,
TEPlomin1,110,Coal,15,25,20,0.1,0,1,0.4,0,1000000,1.8,1.062,STUR,0.025,0.025,N,N,1,N,,,,,,,
RHEOrlovac,237,Hydro,15,25,20,1,0,1,0.908233921,0,1000000,0,0,HPHS,1,0.05,N,N,1,N,809761,1.26E-05,10.2,0.75,,,
TEPlomin2,192,Coal,15,25,20,0.1,0,1,0.42,0,1000000,1.8,1.062,STUR,0.025,0.025,N,N,1,N,,,,,,,
RHEVinodol,5.4,Hydro,15,25,20,1,0,1,0.899738937,0,1000000,0,0,HPHS,1,0.05,N,N,1,N,4049,0.001704124,6.9,0.75,,,
HEVarazdin,94.6,Hydro,15,25,20,1,0,1,0.860731532,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
HEDubrava,79.78,Hydro,15,25,20,1,0,1,0.929424596,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
HR_SolarPP,20,Solar,15,25,20,1,10000,1,1,0,600000,0,0,PHOT,1,1,N,N,1,N,,,,,,,
HECakovec,77.44,Hydro,15,25,20,1,0,1,0.902185209,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
HEGojak,55.5,Hydro,15,25,20,1,0,1,0.841135666,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
HEKraljevac,46.4,Hydro,15,25,20,1,0,1,0.796274771,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
HELesce,41.2,Hydro,15,25,20,1,0,1,0.896494491,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
HEDale,40.8,Hydro,15,25,20,1,0,1,0.90022819,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
TERijeka,303,Oil,15,25,20,0.1,0,1,0.52,0,1000000,1.8,0.517,STUR,0.025,0.025,N,N,1,N,,,,,,,
HERijeka,36.8,Hydro,15,25,20,1,0,1,0.839831222,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
mHEHrvatska,27.393,Hydro,15,25,20,1,0,1,0.840659323,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
HEMiljacka,20,Hydro,15,25,20,1,0,1,0.599628226,0,1000000,0,0,HROR,1,1,N,N,1,N,,,,,,,
TESisak,396,Oil,15,25,20,0.1,0,1,0.57,0,1000000,1.8,0.517,STUR,0.025,0.025,N,N,1,N,,,,,,,
TE-TOOsijek,90,Gas,15,25,20,0.2,50,1,0.3930131,0,1200000,0.5,0.398,STUR,0.06,0.06,N,N,1,Y,750,0.03,,,0.647482014,0.18,139
TE-TOZagreb,440,Gas,15,25,20,0.2,50,1,0.306976744,0,1200000,0.5,0.398,STUR,0.06,0.06,N,N,1,Y,750,0.03,,,0.517647059,0.18,849
HR_SolarHigh,40,Solar,15,25,20,1,10000,1,1,0,600000,0,0,PHOT,1,1,N,N,1,N,,,,,,,
HR_WindPP1,104,Wind,15,25,20,1,10000,1,1,0,1100000,0,0,WTON,1,1,N,N,1,N,,,,,,,
HR_WindPP2,104,Wind,15,25,20,1,10000,1,1,0,1100000,0,0,WTON,1,1,N,N,1,N,,,,,,,
HR_WindPP3,104,Wind,15,25,20,1,10000,1,1,0,1100000,0,0,WTON,1,1,N,N,1,N,,,,,,,
